regulatory_stable_id_GRCh38,genes,ensembl_ID_GRCh37
ENSR00001174708,ESRRG,ENSG00000196482
ENSR00001174708,HSALNG0010544,NA
ENSR00001174708,lnc-GPATCH2-5,NA
ENSR00001174708,lnc-GPATCH2-6,NA
ENSR00001174708,USH2A,ENSG00000042781
ENSR00000024635,OPTN,ENSG00000123240
ENSR00000024635,lnc-CCDC3-1,NA
ENSR00000024635,CCDC3,ENSG00000151468
ENSR00000024635,ENSG00000289266,NA
ENSR00000024635,lnc-CCDC3-2,NA
ENSR00000024635,HSALNG0142718,NA
ENSR00000024635,MCM10,ENSG00000065328
ENSR00001658177,FYCO1,ENSG00000163820
ENSR00001065624,CCR9,ENSG00000173585
ENSR00001065624,LZTFL1,ENSG00000163818
ENSR00001065624,SACM1L,ENSG00000211456
ENSR00001065624,lnc-FYCO1-4,NA
ENSR00001065624,LOC124909374,NA
ENSR00001065624,lnc-FYCO1-5,NA
ENSR00001065624,SLC6A20,ENSG00000163817
ENSR00000277750,NA,NA
ENSR00000696513,GCSAM,ENSG00000174500
ENSR00000696513,HSALNG0028027,NA
ENSR00000696513,SLC9C1,ENSG00000172139
ENSR00000696513,TBILA,NA
ENSR00000696513,CD200,ENSG00000091972
ENSR00000696513,C3orf52,ENSG00000114529
ENSR00000696513,HSALNG0028025,NA
ENSR00000696513,CM034953-203,NA
ENSR00000696513,MIR567,ENSG00000207940
ENSR00000581598,HSALNG0122974,NA
ENSR00000581598,HSALNG0122973,NA
ENSR00000581598,HSALNG0122975,NA
ENSR00000581598,POLR2E,POLR2E
ENSR00000581598,ABCA7,ENSG00000064687
ENSR00000581598,ARHGAP45,ENST00000539243
ENSR00000581598,WDR18,ENSG00000065268
ENSR00000581598,HSALNG0122970,NA
ENSR00000146024,CDC42EP1,ENSG00000128283
ENSR00000146024,LGALS2,ENSG00000100079
ENSR00000146024,DDX17,ENSG00000100201
ENSR00000146024,EIF3L,ENSG00000100129
ENSR00000146024,ANKRD54,ENSG00000100124
ENSR00000146024,CSNK1E,ENSG00000213923
ENSR00000146024,GGA1,ENSG00000100083
ENSR00000146024,IFT27,ENSG00000100360
ENSR00000146024,TRIOBP,ENSG00000100106
ENSR00000146024,GCAT,ENSG00000100116
ENSR00000146024,H1-0,ENST00000340857
ENSR00000146024,TPTEP2,NA
ENSR00000146024,lnc-LGALS2-2,NA
ENSR00000146024,HSALNG0135324,NA
ENSR00000146024,HSALNG0135322,NA
ENSR00000146024,lnc-LGALS2-4,NA
