Submitted identifier,Found identifier,Resource
ZNF771,Q7L3S4,UNIPROT
MCM10,Q7L590,UNIPROT
SLC9C1,Q4G0N8,UNIPROT
TRIOBP,Q9H2D6-5,UNIPROT
TRIOBP,Q9H2D6-4,UNIPROT
ADAMTSL1,Q8N6G6,UNIPROT
PPP1R13L,Q8WUF5,UNIPROT
CCR9,P51686,UNIPROT
LEPR,P48357-1,UNIPROT
PLXNC1,O60486,UNIPROT
ZNF764,Q96H86,UNIPROT
NDEL1,Q9GZM8,UNIPROT
JAK1,Q9C0K1,UNIPROT
JAK1,P23458,UNIPROT
DDX17,Q92841,UNIPROT
SACM1L,Q9NTJ5,UNIPROT
CSNK1E,P49674,UNIPROT
RNF40,O75150,UNIPROT
GCAT,O75600,UNIPROT
LZTFL1,Q9NQ48,UNIPROT
ARHGAP45,Q92619,UNIPROT
CDC42EP1,Q00587,UNIPROT
CDC42EP1,Q6NZY7,UNIPROT
SLX1A,Q9BQ83,UNIPROT
POLR1G,O15446,UNIPROT
OPTN,Q96CV9,UNIPROT
INO80E,Q8NBZ0,UNIPROT
MVP,Q14764,UNIPROT
AK4,P27144,UNIPROT
GDPD3,Q7L5L3,UNIPROT
SLC6A20,Q9NP91,UNIPROT
SOCS2,ENSG00000120833,ENSEMBL
SOCS2,O14508,UNIPROT
GGA1,Q9UJY5,UNIPROT
POLR2E,P19388,UNIPROT
STX4,Q12846,UNIPROT
SULT1A4,P0DMN0,UNIPROT
MYH10,P35580,UNIPROT
ZNF785,A8K8V0,UNIPROT
H3C6,P68431,UNIPROT
H3C6,Q71DI3,UNIPROT
VASP,Q2MJR0,UNIPROT
VASP,P50552,UNIPROT
HSD3B7,Q9H2F3,UNIPROT
SLC14A2,Q15849,UNIPROT
CRADD,P78560,UNIPROT
BTN2A2,Q8WVV5,UNIPROT
BTN2A1,Q7KYR7,UNIPROT
WDR18,Q9BV38,UNIPROT
SETD1A,Q9UPS6,UNIPROT
SETD1A,O15047,UNIPROT
ESRRG,P62508,UNIPROT
ABCA7,Q8IZY2,UNIPROT
TBX6,O95947,UNIPROT
TBX6,ENSG00000149922,ENSEMBL
H1-0,P07305,UNIPROT
H1-3,P16402,UNIPROT
H1-3,Q5QNW6,UNIPROT
EIF3L,Q9Y262,UNIPROT
ERCC1,P07992,UNIPROT
IFT27,Q9BW83,UNIPROT
FOSB,O75419,UNIPROT
FOSB,P53539,UNIPROT
CD200,P41217,UNIPROT
