Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-1266695,"Interleukin-7 signaling",5,31,0.0020341207349081365,2.5476183072914438E-5,0.010037616130728289,14,26,0.0018373259840293971,9606,Homo sapiens,"SOCS2;H3C6;JAK1","","R-HSA-449958;R-HSA-1295540;R-HSA-8865711;R-HSA-8865613;R-HSA-8983011;R-HSA-6785165;R-HSA-1295519;R-HSA-1295516;R-HSA-8983003;R-HSA-1264832;R-HSA-9012671;R-HSA-9025969;R-HSA-449978;R-HSA-8983063"
R-HSA-8851680,"Butyrophilin (BTN) family interactions",2,12,7.874015748031496E-4,0.007704053838893499,0.5372169814016441,2,8,5.653310720090453E-4,9606,Homo sapiens,"BTN2A2;BTN2A1","","R-HSA-8851988;R-HSA-8851018"
R-HSA-140342,"Apoptosis induced DNA fragmentation",2,13,8.530183727034121E-4,0.00897800403339799,0.5372169814016441,2,12,8.479966080135679E-4,9606,Homo sapiens,"H1-0;H1-3","","R-HSA-211239;R-HSA-211247"
R-HSA-2559584,"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",2,17,0.001115485564304462,0.014926663396444106,0.5372169814016441,1,2,1.4133276800226132E-4,9606,Homo sapiens,"H1-0;H1-3","","R-HSA-4647594"
R-HSA-3214841,"PKMTs methylate histone lysines",3,51,0.0033464566929133858,0.018440713198110137,0.5372169814016441,17,22,0.0015546604480248746,9606,Homo sapiens,"SETD1A;H3C6","","R-HSA-5637686;R-HSA-5159245;R-HSA-5244692;R-HSA-5634802;R-HSA-5638332;R-HSA-5634750;R-HSA-5638333;R-HSA-5638141;R-HSA-5649799;R-HSA-5649764;R-HSA-5638157;R-HSA-5634729;R-HSA-5649802;R-HSA-5649800;R-HSA-4827383;R-HSA-4827382;R-HSA-5649801"
R-HSA-449836,"Other interleukin signaling",2,24,0.0015748031496062992,0.028326410142026748,0.5372169814016441,2,17,0.0012013285280192212,9606,Homo sapiens,"STX4;JAK1","","R-HSA-9014074;R-HSA-448661"
R-HSA-73772,"RNA Polymerase I Promoter Escape",3,61,0.0040026246719160104,0.02920253661820149,0.5372169814016441,2,2,1.4133276800226132E-4,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-73769;R-HSA-74986"
R-HSA-5250924,"B-WICH complex positively regulates rRNA expression",3,62,0.004068241469816273,0.030426559783047202,0.5372169814016441,3,3,2.1199915200339198E-4,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-5250930;R-HSA-5250947;R-HSA-5250938"
R-HSA-5660686,"Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)",1,3,1.968503937007874E-4,0.031961589536218304,0.5372169814016441,1,1,7.066638400113066E-5,9606,Homo sapiens,"SLC6A20","","R-HSA-5660694"
R-HSA-5619101,"Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)",1,3,1.968503937007874E-4,0.031961589536218304,0.5372169814016441,1,1,7.066638400113066E-5,9606,Homo sapiens,"SLC6A20","","R-HSA-5660694"
R-HSA-9793380,"Formation of paraxial mesoderm",2,28,0.001837270341207349,0.03749520122607075,0.5372169814016441,9,12,8.479966080135679E-4,9606,Homo sapiens,"TBX6","","R-HSA-9793383;R-HSA-9793382;R-HSA-9793921;R-HSA-9793933;R-HSA-9793837;R-HSA-9793887;R-HSA-9793375;R-HSA-9793400;R-HSA-9820538"
R-HSA-73863,"RNA Polymerase I Transcription Termination",2,33,0.0021653543307086614,0.05030512260824227,0.5372169814016441,3,4,2.8266553600452265E-4,9606,Homo sapiens,"POLR2E;POLR1G","","R-HSA-74993;R-HSA-74992;R-HSA-74994"
R-HSA-8936459,"RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function",3,78,0.005118110236220472,0.05357581659453514,0.5372169814016441,20,33,0.002331990672037312,9606,Homo sapiens,"SETD1A;H3C6","","R-HSA-8936584;R-HSA-8936616;R-HSA-8937097;R-HSA-8936621;R-HSA-8937037;R-HSA-8936608;R-HSA-8936481;R-HSA-8936995;R-HSA-8937016;R-HSA-8937113;R-HSA-8937050;R-HSA-8935740;R-HSA-8936989;R-HSA-8937118;R-HSA-8937022;R-HSA-8935730;R-HSA-8935731;R-HSA-8936979;R-HSA-8936628;R-HSA-8936599"
R-HSA-5250913,"Positive epigenetic regulation of rRNA expression",3,80,0.005249343832020997,0.05692665594356228,0.5372169814016441,5,7,4.946646880079147E-4,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-427383;R-HSA-5250930;R-HSA-5250947;R-HSA-5250938;R-HSA-427336"
R-HSA-427413,"NoRC negatively regulates rRNA expression",3,80,0.005249343832020997,0.05692665594356228,0.5372169814016441,4,7,4.946646880079147E-4,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-427366;R-HSA-5227490;R-HSA-433672;R-HSA-427337"
R-HSA-68962,"Activation of the pre-replicative complex",2,36,0.002362204724409449,0.05863773103321235,0.5372169814016441,7,9,6.359974560101759E-4,9606,Homo sapiens,"FOSB;MCM10","","R-HSA-68960;R-HSA-68914;R-HSA-68917;R-HSA-68916;R-HSA-68919;R-HSA-68918;R-HSA-68940"
R-HSA-73854,"RNA Polymerase I Promoter Clearance",3,85,0.00557742782152231,0.06572621845311766,0.5372169814016441,6,10,7.066638400113067E-4,9606,Homo sapiens,"POLR2E;POLR1G;H3C6","","R-HSA-73718;R-HSA-73865;R-HSA-73769;R-HSA-74986;R-HSA-73757;R-HSA-73758"
R-HSA-176187,"Activation of ATR in response to replication stress",2,39,0.002559055118110236,0.06740840967020367,0.5372169814016441,2,9,6.359974560101759E-4,9606,Homo sapiens,"FOSB;MCM10","","R-HSA-176298;R-HSA-176318"
