regulatory_stable_id_GRCh38,genes,ensembl_ID_GRCh37
ENSR00001046350,NA,NA
ENSR00000095417,IGF2BP1,ENSG00000159217
ENSR00000095417,ENSG00000250838,ENSG00000250838
ENSR00000095417,ENSG00000262837,ENSG00000262837
ENSR00000095417,UBE2Z,ENSG00000159202
ENSR00000095417,ENSG00000204584,ENSG00000204584
ENSR00000095417,FAM117A,ENSG00000121104
ENSR00000095417,LOC124904116,NA
ENSR00000095417,KAT7,ENSG00000136504
ENSR00000095417,PRAC1,ENSG00000159182
ENSR00000095417,PRAC2,ENSG00000229637
ENSR00000095417,HOXB13,ENSG00000159184
ENSR00000095417,TAC4,ENSG00000176358
ENSR00000095417,CALCOCO2,ENSG00000136436
ENSR00000095417,HOXB5,ENSG00000120075
ENSR00000095417,NXPH3,ENSG00000182575
ENSR00000095417,NFE2L1-DT,NA
ENSR00000095417,ENSG00000251461,ENSG00000251461
ENSR00000095417,ATP5MC1,NA
ENSR00000095417,LOC124904020,NA
ENSR00000095417,B4GALNT2,ENSG00000167080
ENSR00001734862,NA,NA
ENSR00000414350,NA,NA
